CityID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
210,huarmey,52,PE,1563410928,88,-10.07,-78.15,61.98,19.19
211,anadyr,75,RU,1563410707,63,64.73,177.51,62.6,11.18
212,salalah,75,OM,1563410505,94,17.01,54.1,78.8,6.93
213,krasnoborsk,73,RU,1563410928,75,61.56,45.93,51.54,5.03
214,abu dhabi,20,AE,1563410711,79,24.47,54.37,89.6,6.93
215,valparaiso,1,US,1563410929,74,41.47,-87.06,84.99,2.33
216,namibe,14,AO,1563410930,86,-15.19,12.15,68.1,3.22
217,yumen,51,CN,1563410571,61,40.29,97.04,65.94,12.55
218,porto novo,20,BR,1563410930,76,-23.68,-45.44,57.2,3.36
219,severnyy-kospashskiy,0,RU,1563410930,97,59.09,57.8,44.01,2.59
220,betare oya,100,CM,1563410930,96,5.6,14.08,66.84,2.28
221,goderich,56,CA,1563410565,72,43.74,-81.71,75.99,4.0
222,arlit,36,NE,1563410599,17,18.74,7.39,98.34,5.99
223,berdychiv,0,UA,1563410930,96,49.89,28.58,49.56,7.34
224,rudsar,75,IR,1563410931,83,37.14,50.29,77.0,2.24
225,wageningen,90,NL,1563410932,77,51.98,5.66,66.0,3.36
226,abu samrah,0,SY,1563410933,85,35.3,37.18,70.62,10.6
227,kurchum,24,KZ,1563410933,44,48.57,83.65,64.86,4.18
228,neiafu,40,TO,1563410935,69,-18.65,-173.98,80.6,9.17
229,yaypan,0,UZ,1563410864,30,40.38,70.82,79.08,5.01
230,cayenne,0,GF,1563410492,94,4.94,-52.33,75.2,3.89
231,kachug,54,RU,1563410938,68,53.96,105.89,70.62,1.66
232,khatanga,0,RU,1563410717,54,71.98,102.47,60.0,5.35
233,lompoc,1,US,1563410516,68,34.64,-120.46,73.0,13.87
234,port macquarie,0,AU,1563410891,36,-31.43,152.91,66.0,14.99
235,mao,40,DO,1563410860,94,19.55,-71.08,82.4,12.62
236,lhokseumawe,97,ID,1563410939,85,5.18,97.15,71.16,3.24
237,saint-francois,0,FR,1563410591,72,46.42,3.91,59.0,2.24
238,kavieng,20,PG,1563410533,75,-2.57,150.8,83.4,11.18
239,sovetskiy,64,RU,1563410939,95,56.76,48.47,58.2,8.97
240,vila velha,20,BR,1563410848,78,-3.71,-38.6,86.0,9.17
241,almaznyy,34,RU,1563410939,93,48.03,40.04,60.8,4.47
242,mbala,0,ZM,1563410940,63,-8.85,31.37,56.94,6.02
243,mogadishu,60,SO,1563410612,76,2.04,45.34,74.4,15.03
244,bloomfield,1,US,1563410942,78,40.75,-92.42,80.01,9.17
245,isangel,75,VU,1563410933,57,-19.55,169.27,75.2,9.17
246,kalabo,0,ZM,1563410942,36,-15.0,22.67,53.16,4.85
247,komsomolskiy,100,RU,1563410874,97,67.55,63.78,56.76,11.25
